utc_time,pst_time,unix_time,wspd,wspd_flg,wdir,wdir_flg,at,at_flg,rh,rh_flg,sr_1,sr1_flg,sr_2,baro,baro_flg,rain,rain_flg,evapo,evapo_flg,dp,dp_flg,vbatt,bit,wgst,wgst_flg
2016-01-04T19:46:11Z,2016-01-04 11:46:11,1451936771.23,2.8,1,135,1,116.1,4,107,4,1126,1,3240,1008.2,1,0.08,1,1.342,4,40,1,13.7,42900,9.72,1
2016-01-04T19:51:07Z,2016-01-04 11:51:07,1451937067.74,3.8,1,128,1,116.2,4,107,4,1149,1,3240,1008.2,1,0.08,1,1.326,4,40,1,13.7,42800,11.76,1
2016-01-04T19:53:06Z,2016-01-04 11:53:06,1451937186.612,3.4,1,123,1,116.2,4,107,4,796,1,3240,1008.1,1,0.08,1,1.332,4,40,1,13.7,42800,10.23,1
2016-01-04T19:55:06Z,2016-01-04 11:55:06,1451937306.716,3.7,1,119,1,116.2,4,107,4,839,1,3240,1008.1,1,0.08,1,1.339,4,40,1,13.7,42800,10.43,1
2016-01-04T19:57:06Z,2016-01-04 11:57:06,1451937426.806,3.7,1,125,1,116.2,4,107,4,797,1,3240,1008,1,0.08,1,1.327,4,40,1,13.8,42800,10.91,1
2016-01-04T19:59:06Z,2016-01-04 11:59:06,1451937546.723,3.7,1,120,1,116.2,4,107,4,720,1,3240,1008,1,0.08,1,1.331,4,40,1,13.7,42900,12.01,1
2016-01-04T20:01:06Z,2016-01-04 12:01:06,1451937666.609,4.1,1,131,1,116.3,4,107,4,707,1,3240,1008,1,0.08,1,1.321,4,40,1,13.7,42800,13.05,1
2016-01-04T20:03:06Z,2016-01-04 12:03:06,1451937786.558,4.1,1,127,1,116.4,4,107,4,657,1,3240,1007.9,1,0.08,1,1.33,4,40,1,13.7,42800,10.76,1
2016-01-04T20:05:06Z,2016-01-04 12:05:06,1451937906.74,3.9,1,133,1,116.4,4,107,4,670,1,3240,1007.9,1,0.08,1,1.334,4,40,1,13.7,42900,10.9,1
2016-01-04T20:07:06Z,2016-01-04 12:07:06,1451938026.595,3.2,1,129,1,116.3,4,107,4,703,1,3240,1007.9,1,0.08,1,1.332,4,40,1,13.7,42800,9.16,1
2016-01-04T20:09:06Z,2016-01-04 12:09:06,1451938146.653,2.5,1,120,1,116.3,4,107,4,957,1,3240,1007.9,1,0.08,1,1.343,4,40,1,13.7,42900,8.36,1
2016-01-04T20:10:06Z,2016-01-04 12:10:06,1451938206.729,3.7,1,120,1,116.2,4,108,4,1081,1,3240,1007.8,1,0.08,1,1.336,4,40,1,13.7,42800,10.45,1
2016-01-04T20:12:06Z,2016-01-04 12:12:06,1451938326.615,3.8,1,125,1,116.2,4,108,4,1329,1,3240,1007.8,1,0.08,1,1.338,4,40,1,13.7,42800,12.17,1
2016-01-04T20:14:06Z,2016-01-04 12:14:06,1451938446.798,3.3,1,127,1,116.3,4,108,4,1473,1,3240,1007.8,1,0.08,1,1.338,4,40,1,13.7,42800,9.24,1
2016-01-04T20:16:06Z,2016-01-04 12:16:06,1451938566.778,3.9,1,125,1,116.3,4,108,4,1153,1,3240,1007.8,1,0.08,1,1.336,4,40,1,13.7,42900,10.63,1
