utc_time,pst_time,unix_time,wspd,wspd_flg,wdir,wdir_flg,at,at_flg,rh,rh_flg,sr_1,sr1_flg,sr_2,baro,baro_flg,rain,rain_flg,evapo,evapo_flg,dp,dp_flg,vbatt,bit,wgst,wgst_flg
2016-02-01T08:01:12Z,2016-02-01 00:01:12,1454313672.531,8.2,1,315,1,10.8,1,50,1,-1,1,3240,1014.3,1,0,1,0,1,0.9,1,13.7,40000,22.3,1
2016-02-01T08:03:06Z,2016-02-01 00:03:06,1454313786.524,8.2,1,313,1,10.8,1,55,1,-1,1,3240,1014.3,1,0,1,0,1,2.4,1,13.7,40000,20.87,1
2016-02-01T08:05:06Z,2016-02-01 00:05:06,1454313906.685,7.6,1,324,1,10.8,1,53,1,-1,1,3240,1014.3,1,0,1,0,1,1.9,1,13.8,40000,22.83,1
2016-02-01T08:07:06Z,2016-02-01 00:07:06,1454314026.615,4.6,1,320,1,10.7,1,47,1,-1,1,3240,1014.3,1,0,1,0,1,0,1,13.7,40000,14.6,1
2016-02-01T08:09:06Z,2016-02-01 00:09:06,1454314146.674,5.3,1,319,1,10.8,1,54,1,-1,1,3240,1014.3,1,0,1,0,1,2.1,1,13.8,40000,17.31,1
2016-02-01T08:11:06Z,2016-02-01 00:11:06,1454314266.669,5.3,1,330,1,10.6,1,46,1,-1,1,3240,1014.4,1,0,1,0,1,-0.3,1,13.8,40000,19.01,1
2016-02-01T08:13:06Z,2016-02-01 00:13:06,1454314386.743,5.6,1,321,1,10.7,1,48,1,-1,1,3240,1014.4,1,0,1,0,1,0.4,1,13.8,40000,17.56,1
2016-02-01T08:15:06Z,2016-02-01 00:15:06,1454314506.719,6,1,325,1,10.6,1,44,1,-1,1,3240,1014.3,1,0,1,0,1,-0.8,1,13.8,40000,21.36,1
2016-02-01T08:17:06Z,2016-02-01 00:17:06,1454314626.603,5.4,1,334,1,10.7,1,49,1,-1,1,3240,1014.4,1,0,1,0,1,0.7,1,13.7,40000,17.71,1
2016-02-01T08:19:06Z,2016-02-01 00:19:06,1454314746.737,5.5,1,335,1,10.7,1,50,1,-1,1,3240,1014.5,1,0,1,0,1,1,1,13.7,40000,17.36,1
