utc_time,pst_time,unix_time,wspd,wspd_flg,wdir,wdir_flg,at,at_flg,rh,rh_flg,sr_1,sr1_flg,sr_2,baro,baro_flg,rain,rain_flg,evapo,evapo_flg,dp,dp_flg,vbatt,bit,wgst,wgst_flg
2015-12-01T08:00:10Z,2015-12-01 00:00:10,1448956810.025,0.4,1,128,1,113.1,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,1.96,1
2015-12-01T08:01:10Z,2015-12-01 00:01:10,1448956870.205,0.7,1,115,1,113,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,2.49,1
2015-12-01T08:02:10Z,2015-12-01 00:02:10,1448956930.515,1,1,119,1,113,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,3.04,1
2015-12-01T08:03:10Z,2015-12-01 00:03:10,1448956990.164,1.1,1,146,1,113,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,2.63,1
2015-12-01T08:04:10Z,2015-12-01 00:04:10,1448957050.107,0.9,1,135,1,113.1,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,2.33,1
2015-12-01T08:05:10Z,2015-12-01 00:05:10,1448957110.047,0.5,1,137,1,113.1,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,1.84,1
2015-12-01T08:06:10Z,2015-12-01 00:06:10,1448957170.101,0.5,1,116,1,113.1,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,1.89,1
2015-12-01T08:07:10Z,2015-12-01 00:07:10,1448957230.028,1.1,1,130,1,113.1,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,3.15,1
2015-12-01T08:08:10Z,2015-12-01 00:08:10,1448957290.047,1.5,1,122,1,113.1,4,102,4,-1,1,3240,1022,1,0,1,0,4,40,1,13.7,40900,3.81,1
2015-12-01T08:09:10Z,2015-12-01 00:09:10,1448957350.048,0.9,1,109,1,113.1,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,2.56,1
2015-12-01T08:10:09Z,2015-12-01 00:10:09,1448957409.991,1,1,122,1,113.1,4,102,4,-1,1,3240,1022.1,1,0,1,0,4,40,1,13.7,40900,3.1,1
2015-12-01T08:11:09Z,2015-12-01 00:11:09,1448957469.996,1.1,1,112,1,113.1,4,102,4,-1,1,3240,1022,1,0,1,0,4,40,1,13.7,40900,2.97,1
2015-12-01T08:12:10Z,2015-12-01 00:12:10,1448957530.077,1.1,1,111,1,113.1,4,102,4,-1,1,3240,1022,1,0,1,0,4,40,1,13.7,40900,2.83,1
2015-12-01T08:13:10Z,2015-12-01 00:13:10,1448957590.087,0.9,1,110,1,113.1,4,102,4,-1,1,3240,1022,1,0,1,0,4,40,1,13.7,40900,2.56,1
2015-12-01T08:14:10Z,2015-12-01 00:14:10,1448957650.005,0.8,1,113,1,113.1,4,102,4,-1,1,3240,1022,1,0,1,0,4,40,1,13.7,40900,2.26,1
2015-12-01T08:15:09Z,2015-12-01 00:15:09,1448957709.985,1,1,116,1,113.1,4,102,4,-1,1,3240,1022,1,0,1,0,4,40,1,13.7,40900,2.67,1
2015-12-01T08:16:09Z,2015-12-01 00:16:09,1448957769.979,0.9,1,103,1,113.1,4,102,4,-1,1,3240,1022,1,0,1,0,4,40,1,13.7,40900,2.6,1
