utc_time,pst_time,unix_time,wspd,wspd_flg,wdir,wdir_flg,at,at_flg,rh,rh_flg,sr_1,sr1_flg,sr_2,baro,baro_flg,rain,rain_flg,evapo,evapo_flg,dp,dp_flg,vbatt,bit,wgst,wgst_flg
2010-06-01T18:39:43Z,2010-06-01 11:39:43,1275417583,5.6,1,290,1,6.7,1,79,1,841,1,2324,948,1,0,1,0,1,9.1,1,12.1,45201,15.17,1
2010-06-01T18:40:42Z,2010-06-01 11:40:42,1275417642,6.3,1,279,1,-16.4,4,57,1,-1528,4,1377,899.7,3,0,1,0.001,4,-18,4,19.4,65000,15.34,1
2010-06-01T18:41:43Z,2010-06-01 11:41:43,1275417703,6.5,1,284,1,9.4,1,76,1,815,1,2757,1003.2,1,0,1,0.006,1,-3.4,1,12.5,67900,15.76,1
2010-06-01T18:42:43Z,2010-06-01 11:42:43,1275417763,6,1,282,1,12.7,1,87,1,1636,1,2984,1015.2,1,0,1,0.422,1,10.6,1,12.4,45000,15.86,1
