utc_time,pst_time,unix_time,wspd,wspd_flg,wdir,wdir_flg,at,at_flg,rh,rh_flg,sr_1,sr1_flg,sr_2,baro,baro_flg,rain,rain_flg,evapo,evapo_flg,dp,dp_flg,vbatt,bit,wgst,wgst_flg
2010-09-23T20:58:38Z,2010-09-23 13:58:38,1285275518,4.5,1,295,1,15.4,1,86,1,1654,1,3239,1013.2,1,0,1,0.489,1,13,1,14.6,40000,11.91,1
2010-09-23T20:59:29Z,2010-09-23 13:59:29,1285275569,4.4,1,295,1,15.4,1,86,1,1646,1,3239,1013.2,1,0,1,0.478,1,13.2,1,14.6,40100,11.53,1
2010-09-23T21:00:29Z,2010-09-23 14:00:29,1285275629,4.3,1,302,1,15,1,86,1,1648,1,3239,1013.1,1,0,1,0.475,1,12.6,1,14.6,40100,11.23,1
2010-09-23T21:01:29Z,2010-09-23 14:01:29,1285275689,4,1,298,1,15.7,1,85,1,1643,1,3239,1013.1,1,0,1,0.519,1,12.8,1,14.6,40000,10.38,1
2010-09-23T21:02:29Z,2010-09-23 14:02:29,1285275749,3.8,1,299,1,16,1,85,1,1633,1,3239,1013.1,1,0,1,0.483,1,14.6,1,14.6,40000,10.63,1
2010-09-23T21:03:29Z,2010-09-23 14:03:29,1285275809,4.1,1,299,1,16.1,1,85,1,1624,1,3239,1013.1,1,0,1,0.575,1,14.7,1,14.6,40100,11.65,1
2010-09-23T21:04:29Z,2010-09-23 14:04:29,1285275869,4,1,298,1,16.7,1,86,1,1615,1,3239,1013.1,1,0,1,0.455,1,14.2,1,14.6,40100,10.86,1
2010-09-23T21:05:29Z,2010-09-23 14:05:29,1285275929,3.2,1,302,1,15.9,1,84,1,1620,1,3239,1013.1,1,0,1,0.479,1,13,1,14.6,40000,9.99,1
2010-09-23T21:06:29Z,2010-09-23 14:06:29,1285275989,3.9,1,300,1,15.8,1,84,1,1616,1,3239,1013.1,1,0,1,0.537,1,12.8,1,14.6,40000,9.93,1
2010-09-23T21:07:30Z,2010-09-23 14:07:30,1285276050,4.2,1,299,1,16.2,1,85,1,1610,1,3239,1013.1,1,0,1,0.689,1,14.8,1,14.6,40000,11.6,1
2010-09-23T21:08:30Z,2010-09-23 14:08:30,1285276110,5.1,1,300,1,17.4,1,86,1,1599,1,3239,1013.1,1,0,1,0.64,1,15.5,1,14.6,40000,14.06,1
2010-09-23T21:09:30Z,2010-09-23 14:09:30,1285276170,4.3,1,302,1,15.1,1,84,1,1599,1,3239,1013.1,1,0,1,0.465,1,12.7,1,14.6,40100,11.86,1
2010-09-23T21:10:30Z,2010-09-23 14:10:30,1285276230,4.3,1,297,1,16.3,1,85,1,1591,1,3239,1013.1,1,0,1,0.497,1,13.4,1,14.6,40000,12.01,1
2010-09-23T21:11:30Z,2010-09-23 14:11:30,1285276290,4.6,1,300,1,15.9,1,85,1,1585,1,3239,1013.1,1,0,1,0.465,1,13.1,1,14.6,40000,12.57,1
2010-09-23T21:12:30Z,2010-09-23 14:12:30,1285276350,4.5,1,300,1,15.2,1,84,1,1586,1,3239,1013,1,0,1,0.534,1,12.5,1,14.6,40000,13.45,1
2010-09-23T21:13:30Z,2010-09-23 14:13:30,1285276410,4.7,1,299,1,16.2,1,85,1,1575,1,3239,1013,1,0,1,0.47,1,13.7,1,14.6,40000,13.72,1
2010-09-23T21:14:30Z,2010-09-23 14:14:30,1285276470,5,1,299,1,16.8,1,86,1,1566,1,3239,1013,1,0,1,0.74,1,16.2,1,14.6,40000,12.99,1
2010-09-23T21:15:30Z,2010-09-23 14:15:30,1285276530,4.9,1,299,1,16.4,1,85,1,1561,1,3239,1013,1,0,1,0.451,1,13.4,1,14.6,40000,13.85,1
2010-09-23T21:16:30Z,2010-09-23 14:16:30,1285276590,5.1,1,298,1,15.8,1,85,1,1568,1,3239,1013,1,0,1,0.437,1,13.1,1,14.6,40000,13.7,1
